Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 19:02:42 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=76
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	76	1.0000000
2	95	0.8181818
3	70	0.6875000
4	29	0.6551724
5	93	0.6060606
6	91	0.5428572
7	19	0.5277778
8	96	0.4871795
9	75	0.5789474
10	14	0.5774648
11	32	0.5753425
12	86	0.5675676
13	97	0.5268817
14	74	0.5135135
15	10	0.4545455
16	8	0.4596774
17	82	0.4461538
18	20	0.4411765
19	26	0.4275362
20	123	0.4066667
21	38	0.3910256
22	33	0.3797468
23	44	0.3734940
24	72	0.3668639
25	22	0.3588235
26	83	0.3444445
27	88	0.3369565
28	17	0.3351351
29	51	0.3315508
30	57	0.3350785
31	102	0.3333333
32	15	0.3247423
33	121	0.3181818
34	127	0.3004695
35	129	0.2943925
36	23	0.2785388
37	61	0.2735043
38	4	0.2658228
	First local minimun!!!
39	7	0.2669491
40	3	0.2831858
41	35	0.2798165
42	12	0.2790698
43	90	0.2857143
44	92	0.2836539
45	11	0.2815534
46	100	0.2843137
47	89	0.2835821
48	79	0.2828283
49	81	0.2769231
50	119	0.2934783
51	66	0.3235294
52	34	0.3154762
53	103	0.3192771
54	6	0.3291925
55	112	0.3164557
56	113	0.3137255
57	107	0.3197279
58	73	0.3381295
59	27	0.3409091
60	36	0.3435115
61	85	0.3464567
62	46	0.3620690
63	13	0.3652174
64	18	0.3750000
65	56	0.3888889
66	110	0.3809524
67	54	0.3625000
68	68	0.3506494
69	98	0.3513514
70	53	0.3561644
71	58	0.3428572
72	49	0.3283582
73	77	0.3333333
74	39	0.3015873
75	21	0.3064516
76	30	0.2833333
77	48	0.2586207
	Global minimun!!!
78	42	0.3137255
79	124	0.3200000
80	125	0.3061225
81	60	0.4000000
82	108	0.4102564
83	122	0.4210526
84	50	0.4571429
85	45	0.4285714
86	120	0.5217391
87	2	0.4500000
88	59	0.5625000
89	62	0.5333334
90	5	0.5000000
91	116	0.5000000
92	105	0.6250000
93	101	0.5714286
94	126	0.5000000
95	0	0.6000000
96	9	0.7500000
97	1	0.6666667
98	31	0.5000000
99	87	1.0000000
100	55	1.0000000
Size of Cluster: 38.

run time: 0.17s (19:02:42)
