Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 19:02:35 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=45
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	45	1.0000000
2	5	0.8750000
3	2	0.7272727
4	50	0.6428571
5	62	0.6000000
6	60	0.3333333
7	42	0.2258064
8	77	0.2187500
	First local minimun!!!
9	35	0.2750000
10	88	0.2954545
11	23	0.3265306
12	32	0.3137255
13	56	0.4307692
14	107	0.4507042
15	82	0.4805195
16	74	0.5052631
17	127	0.4636364
18	75	0.3906250
19	86	0.3798450
20	122	0.3769231
21	108	0.3740458
22	8	0.3656716
23	33	0.3602941
24	22	0.3576642
25	11	0.3453237
26	92	0.3333333
27	119	0.3289474
28	72	0.3161290
29	83	0.3030303
30	116	0.3017752
31	120	0.2816092
32	101	0.2742857
33	126	0.2670455
34	4	0.2625698
35	85	0.2568306
36	70	0.2446809
37	3	0.2323232
38	12	0.2388060
39	58	0.2401961
40	46	0.2232558
41	79	0.2155963
42	66	0.2112069
43	112	0.2042553
	Global minimun!!!
44	27	0.2198276
45	123	0.2363636
46	61	0.2585366
47	38	0.2663317
48	34	0.2588832
49	113	0.2656250
50	76	0.2795699
51	39	0.2841530
52	36	0.2802198
53	68	0.2905028
54	44	0.3040936
55	18	0.3250000
56	49	0.3248408
57	110	0.3245033
58	53	0.3200000
59	96	0.3333333
60	73	0.3237410
61	13	0.3188406
62	95	0.3233083
63	81	0.3307692
64	129	0.3333333
65	29	0.3965517
66	15	0.3947369
67	98	0.3963964
68	20	0.4000000
69	54	0.3960396
70	48	0.3838384
71	14	0.3882353
72	57	0.3703704
73	90	0.4078947
74	103	0.4054054
75	17	0.3972603
76	26	0.4225352
77	91	0.4057971
78	124	0.4117647
79	125	0.4029851
80	30	0.4153846
81	93	0.4262295
82	121	0.4736842
83	19	0.4642857
84	105	0.4814815
85	100	0.4807692
86	51	0.5000000
87	97	0.5483871
88	6	0.6153846
89	102	0.6000000
90	10	0.4666667
91	21	0.4285714
92	89	0.3636364
93	59	0.5714286
94	7	0.5000000
95	87	0.6000000
96	55	0.5000000
97	1	0.6666667
98	31	1.0000000
99	0	1.0000000
100	9	1.0000000
Size of Cluster: 8.

run time: 0.19s (19:02:35)
