Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 18:29:35 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=32
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	32	1.0000000
2	88	0.6666667
3	12	0.6000000
	First local minimun!!!
4	29	0.7500000
5	91	0.6666667
6	27	0.6800000
7	93	0.6551724
8	76	0.6000000
9	96	0.5675676
10	10	0.6000000
11	97	0.4745763
12	95	0.4375000
13	14	0.3733333
14	26	0.3506494
15	33	0.3333333
16	44	0.2941177
17	51	0.2873563
18	57	0.2967033
19	39	0.2978723
20	73	0.2970297
21	6	0.2788461
22	70	0.2710280
23	38	0.2566372
24	89	0.2521739
25	98	0.2457627
26	121	0.2416667
27	81	0.2295082
28	18	0.2196970
29	20	0.2222222
30	83	0.2097902
31	61	0.2142857
32	124	0.2129032
33	125	0.2051282
34	48	0.2025317
35	15	0.2012579
36	123	0.2023810
37	119	0.2102273
38	54	0.2138728
39	68	0.2058824
40	107	0.2012195
41	110	0.2000000
42	13	0.1949686
43	90	0.1898734
	Global minimun!!!
44	75	0.2571429
45	8	0.2536232
46	79	0.2666667
47	112	0.2631579
48	66	0.3083333
49	58	0.3247863
50	82	0.3185841
51	3	0.3495146
52	4	0.3600000
53	34	0.3469388
54	85	0.3541667
55	59	0.3655914
56	74	0.4342105
57	127	0.5161290
58	86	0.5081967
59	56	0.5192308
60	72	0.5000000
61	46	0.5000000
62	35	0.5000000
63	42	0.4666667
64	92	0.4285714
65	11	0.3846154
66	49	0.3750000
67	23	0.3157895
68	31	0.3333333
69	9	0.2941177
70	30	0.2500000
71	113	0.2666667
72	120	0.2142857
73	77	0.2307692
74	60	0.5000000
75	50	0.6666667
76	45	1.0000000
77	2	1.0000000
78	5	1.0000000
Size of Cluster: 3.

run time: 0.19s (18:29:35)
