Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 18:29:44 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=74
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	74	1.0000000
2	86	0.9444444
3	4	0.8571429
4	11	0.8260869
5	92	0.8000000
6	127	0.5897436
7	23	0.5227273
8	72	0.5217391
9	42	0.5208333
10	35	0.4464286
11	75	0.3243243
12	79	0.3116883
13	77	0.3076923
14	85	0.3000000
15	3	0.3000000
16	70	0.3010753
17	83	0.2673267
18	50	0.2718447
19	46	0.2743363
20	82	0.2905983
21	76	0.2845528
22	121	0.2800000
23	123	0.3059702
24	45	0.3043478
25	56	0.2789116
26	60	0.2565790
27	61	0.2638037
28	96	0.2606061
29	34	0.2574850
30	112	0.2544379
31	66	0.1976744
32	49	0.1941177
33	30	0.1893491
34	2	0.1845238
35	5	0.1796407
36	120	0.1807229
37	113	0.1757576
38	15	0.1768293
39	13	0.1779141
40	95	0.1772152
41	110	0.1688312
42	20	0.1589404
	Global minimun!!!
	First local minimun!!!
43	58	0.1621622
44	107	0.1901408
45	8	0.1928571
46	44	0.2255639
47	57	0.2403101
48	91	0.2440945
49	81	0.2400000
50	54	0.2540984
51	119	0.2767857
52	73	0.3047619
53	29	0.3510638
54	38	0.3750000
55	51	0.3837209
56	14	0.4000000
57	59	0.4166667
58	27	0.4615385
59	93	0.4754098
60	98	0.4827586
61	6	0.5090909
62	48	0.5283019
63	12	0.5294118
64	39	0.5416667
65	18	0.5263158
66	90	0.5405405
67	97	0.7391304
68	68	0.7000000
69	10	0.6666667
70	89	0.6000000
71	88	0.6250000
72	32	0.5714286
73	31	0.6666667
74	9	0.6000000
75	26	0.6666667
76	33	0.5000000
77	125	1.0000000
78	124	1.0000000
Size of Cluster: 42.

run time: 0.17s (18:29:44)
