Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 18:29:47 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=85
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	85	1.0000000
2	110	0.8333333
3	23	0.8181818
4	13	0.7500000
5	61	0.6521739
6	77	0.6250000
7	127	0.6578947
8	81	0.6500000
9	48	0.6428571
10	98	0.6000000
11	57	0.5102041
12	92	0.4901961
13	11	0.4716981
14	74	0.4285714
15	60	0.4400000
16	75	0.3870968
17	82	0.3711340
18	86	0.3571429
19	35	0.3207547
20	51	0.3148148
21	66	0.3471074
22	4	0.3387097
23	5	0.3360000
24	2	0.3333333
25	45	0.3076923
26	50	0.2878788
27	46	0.2816902
28	72	0.2777778
29	42	0.2671233
30	96	0.2635135
31	56	0.2420382
32	83	0.2303030
33	3	0.1828571
34	49	0.1751412
35	34	0.1714286
36	30	0.1666667
	Global minimun!!!
	First local minimun!!!
37	79	0.1695906
38	70	0.1726190
39	6	0.1878788
40	123	0.1923077
41	113	0.1935484
42	120	0.1883117
43	112	0.1842105
44	73	0.2068966
45	39	0.2253521
46	76	0.2426471
47	68	0.2631579
48	58	0.2692308
49	8	0.2812500
50	27	0.2892562
51	95	0.2931035
52	54	0.3008850
53	119	0.3398058
54	91	0.3465346
55	15	0.3500000
56	18	0.3333333
57	121	0.3409091
58	107	0.3170732
59	20	0.3037975
60	29	0.3676471
61	44	0.3934426
62	90	0.3833333
63	38	0.4259259
64	59	0.4509804
65	14	0.4750000
66	12	0.4736842
67	88	0.4722222
68	93	0.5000000
69	32	0.4838710
70	10	0.6956522
71	124	0.7272727
72	125	0.7142857
73	97	0.7142857
74	89	0.6000000
75	31	0.7500000
76	9	0.6666667
77	26	1.0000000
78	33	1.0000000
Size of Cluster: 36.

run time: 0.17s (18:29:47)
