Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:24:49 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=5
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	5	1.0000000
2	45	0.8000000
3	2	0.6666667
4	50	0.5714286
5	60	0.2500000
6	77	0.2307692
	First local minimun!!!
7	11	0.3125000
8	23	0.3157895
9	46	0.4666667
10	30	0.4516129
11	49	0.3939394
12	58	0.3714286
13	92	0.3783784
14	127	0.3600000
15	82	0.4107143
16	85	0.3965517
17	74	0.3783784
18	56	0.3975904
19	96	0.3882353
20	35	0.3666667
21	66	0.3529412
22	3	0.3125000
23	119	0.3388430
24	86	0.3360656
25	113	0.3333333
26	120	0.3225806
27	75	0.2482270
28	72	0.2307692
29	8	0.2206897
30	59	0.2281879
31	4	0.2236842
32	83	0.2038217
33	34	0.1987180
34	79	0.1948052
35	9	0.1960784
36	0	0.1973684
37	31	0.1920530
38	1	0.1866667
39	107	0.1836735
	Global minimun!!!
40	61	0.2000000
41	90	0.2014925
42	123	0.2063492
43	110	0.2049180
44	54	0.2100840
45	70	0.2155172
46	13	0.2086957
47	68	0.2142857
48	15	0.2162162
49	20	0.2129630
50	18	0.2277228
51	76	0.2526316
52	95	0.2444444
53	91	0.2500000
54	38	0.2771084
55	48	0.2716049
56	121	0.2784810
57	89	0.2857143
58	57	0.3150685
59	14	0.3437500
60	81	0.3387097
61	73	0.3684210
62	125	0.3750000
63	124	0.3636364
64	29	0.4000000
65	6	0.4047619
66	98	0.4102564
67	51	0.4324324
68	27	0.4848485
69	93	0.5517241
70	97	0.7647059
71	39	0.7500000
72	44	0.7500000
73	10	0.6666667
74	12	0.7500000
75	32	1.0000000
76	88	1.0000000
77	26	1.0000000
Size of Cluster: 6.

run time: 0.17s (17:24:49)
