Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:24:59 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=49
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	49	1.0000000
2	30	0.6666667
3	46	0.7142857
4	58	0.6250000
5	66	0.6428571
6	11	0.6129032
7	56	0.5000000
8	92	0.5000000
9	34	0.4772727
10	5	0.4565217
11	120	0.4468085
12	113	0.4166667
13	59	0.4230769
14	3	0.3548387
15	96	0.3593750
16	1	0.3538462
17	31	0.3484848
18	9	0.3283582
19	0	0.3088235
20	127	0.3209876
21	123	0.3146068
22	72	0.3076923
23	54	0.2978723
24	74	0.2909091
25	75	0.2362205
26	35	0.2045455
27	15	0.2030075
28	23	0.1985294
29	86	0.1897810
30	85	0.1870504
31	20	0.1760563
32	61	0.1818182
33	95	0.1858974
34	110	0.1842105
35	83	0.1768707
36	45	0.1944444
37	82	0.1884058
38	13	0.1824818
39	4	0.1865672
40	77	0.1879699
41	60	0.1796875
42	89	0.1825397
43	91	0.1854839
44	70	0.1818182
45	2	0.1750000
46	50	0.1680672
47	79	0.1623932
48	76	0.1621622
	Global minimun!!!
	First local minimun!!!
49	57	0.1775701
50	81	0.1714286
51	29	0.1894737
52	121	0.1935484
53	51	0.1978022
54	14	0.2560976
55	73	0.2987013
56	98	0.3108108
57	38	0.3478261
58	6	0.3636364
59	48	0.3750000
60	8	0.4032258
61	93	0.4310345
62	27	0.4629630
63	119	0.5555556
64	97	0.6666667
65	10	0.6296296
66	32	0.6538461
67	39	0.6400000
68	18	0.7777778
69	44	0.7857143
70	88	0.8333333
71	107	0.7777778
72	12	0.7142857
73	26	0.6666667
74	68	0.6666667
75	90	0.5000000
76	125	1.0000000
77	124	1.0000000
Size of Cluster: 48.

run time: 0.17s (17:24:59)
