Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:24:55 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=29
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	29	1.0000000
2	32	0.9090909
3	91	0.7692308
4	88	0.6666667
5	93	0.6315789
6	96	0.5714286
7	76	0.5185185
8	95	0.4375000
9	97	0.4545455
10	10	0.3800000
11	26	0.3529412
12	12	0.3584906
13	14	0.3387097
14	44	0.2878788
15	51	0.2794118
16	57	0.2916667
17	38	0.2597403
18	70	0.2500000
19	27	0.2500000
20	121	0.2441860
21	20	0.2471910
22	89	0.2417582
23	6	0.2446809
24	81	0.2395833
25	39	0.2371134
26	15	0.2346939
27	98	0.2178218
28	73	0.2075472
29	61	0.2203390
30	123	0.2142857
31	119	0.2370370
32	107	0.2246377
33	18	0.2068966
34	13	0.2054795
35	110	0.1933333
	Global minimun!!!
	First local minimun!!!
36	79	0.1973684
37	83	0.2038217
38	75	0.2695035
39	48	0.2661870
40	54	0.2720588
41	66	0.3225806
42	4	0.3305785
43	8	0.3277311
44	68	0.3189655
45	34	0.3157895
46	3	0.3365385
47	90	0.3300971
48	82	0.3195876
49	74	0.3456790
50	125	0.3500000
51	124	0.3417721
52	86	0.3333333
53	85	0.3421053
54	72	0.3243243
55	35	0.3188406
56	56	0.3166667
57	127	0.3191489
58	46	0.3888889
59	92	0.3529412
60	49	0.3437500
61	58	0.3333333
62	11	0.2962963
63	120	0.3076923
64	113	0.2800000
65	30	0.2500000
66	59	0.3000000
67	23	0.2941177
68	0	0.3125000
69	9	0.3333333
70	1	0.2857143
71	31	0.2307692
72	5	0.2727273
73	77	0.3000000
74	60	0.6000000
75	45	1.0000000
76	50	1.0000000
77	2	1.0000000
Size of Cluster: 35.

run time: 0.19s (17:24:55)
