Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:24:56 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=34
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	34	1.0000000
2	66	0.8571429
3	123	0.7272727
4	3	0.6562500
5	15	0.6363636
6	20	0.5555556
7	56	0.4444444
8	49	0.4468085
9	120	0.4375000
10	113	0.4081633
11	72	0.3921569
12	30	0.3846154
13	46	0.3174603
14	95	0.3088235
15	58	0.2857143
	First local minimun!!!
16	54	0.2876712
17	75	0.3333333
18	61	0.3529412
19	74	0.3220339
20	110	0.3114754
21	11	0.3040000
22	86	0.2936508
23	92	0.2890625
24	13	0.2790698
25	70	0.2727273
26	82	0.2463768
27	127	0.2052980
28	35	0.1794872
29	96	0.1783440
30	76	0.1788079
31	85	0.1744967
32	83	0.1597222
	Global minimun!!!
33	59	0.1714286
34	91	0.1739130
35	14	0.2248062
36	5	0.2283465
37	4	0.2338710
38	57	0.2500000
39	23	0.2478632
40	81	0.2434783
41	29	0.2476190
42	79	0.2427184
43	0	0.2450980
44	9	0.2475248
45	1	0.2400000
46	31	0.2323232
47	38	0.2553191
48	89	0.2608696
49	51	0.2666667
50	98	0.2758621
51	73	0.3170732
52	48	0.3250000
53	93	0.3421053
54	6	0.3561644
55	121	0.3661972
56	8	0.3913043
57	77	0.3970588
58	44	0.4218750
59	97	0.4230769
60	32	0.4313726
61	119	0.5476190
62	27	0.5789474
63	12	0.5833333
64	18	0.6551724
65	88	0.6296296
66	10	0.5714286
67	39	0.5500000
68	60	0.7333333
69	107	0.6666667
70	26	0.6363636
71	45	0.7500000
72	68	0.8000000
73	90	0.7500000
74	2	0.6666667
75	50	0.5000000
76	125	1.0000000
77	124	1.0000000
Size of Cluster: 15.

run time: 0.19s (17:24:56)
