Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:25:07 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=88
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	88	1.0000000
2	32	0.6666667
3	12	0.6000000
4	27	0.5555556
5	39	0.5000000
	First local minimun!!!
6	29	0.6500000
7	44	0.6250000
8	98	0.5925926
9	91	0.5517241
10	93	0.5151515
11	73	0.5000000
12	14	0.4893617
13	97	0.4067796
14	10	0.3538462
15	26	0.3333333
16	76	0.3194444
17	6	0.2933333
18	95	0.2750000
19	96	0.2682927
20	57	0.2790698
21	81	0.2613636
22	38	0.2365591
23	51	0.2210526
24	48	0.2268041
25	83	0.2450980
26	18	0.2477064
27	70	0.2321429
28	89	0.2280702
29	121	0.2241379
30	20	0.2268908
31	124	0.2250000
32	125	0.2148760
33	68	0.2096774
34	119	0.1954887
35	110	0.2043796
36	61	0.1946309
37	107	0.1776316
38	54	0.1741935
39	90	0.1666667
40	13	0.1592357
41	15	0.1592357
42	8	0.1548387
	Global minimun!!!
43	123	0.1700680
44	75	0.2384615
45	82	0.2338710
46	35	0.2436975
47	85	0.2478632
48	79	0.2608696
49	3	0.3238095
50	66	0.3440860
51	4	0.3555556
52	34	0.3409091
53	74	0.3472222
54	86	0.3380282
55	127	0.3448276
56	72	0.3214286
57	56	0.3191489
58	92	0.3111111
59	46	0.3529412
60	59	0.4333333
61	11	0.4074074
62	23	0.4166667
63	49	0.4090909
64	58	0.3500000
65	120	0.3684210
66	113	0.3333333
67	30	0.2941177
68	1	0.3125000
69	31	0.3333333
70	0	0.2857143
71	9	0.2307692
72	77	0.2500000
73	60	0.5714286
74	5	0.6000000
75	45	1.0000000
76	50	1.0000000
77	2	1.0000000
Size of Cluster: 5.

run time: 0.17s (17:25:08)
