Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:25:09 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=93
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	93	1.0000000
2	97	0.8125000
3	44	0.7000000
4	29	0.6333333
5	26	0.6129032
6	38	0.5833333
7	10	0.4523810
8	32	0.4418605
9	76	0.4285714
10	14	0.3275862
11	12	0.3166667
12	88	0.2903226
13	91	0.2812500
14	51	0.2727273
15	121	0.2647059
16	89	0.2571429
17	6	0.2602740
18	95	0.2435897
19	27	0.2439024
20	96	0.2380952
21	73	0.2247191
22	107	0.2391304
23	70	0.2315789
24	119	0.2307692
25	57	0.2407407
26	39	0.2385321
27	18	0.2155172
28	20	0.2184874
29	8	0.2066116
30	90	0.2049180
31	68	0.1840000
32	98	0.1796875
33	81	0.1692308
34	125	0.1679389
35	124	0.1590909
36	54	0.1555556
37	79	0.1605839
38	15	0.1594203
39	123	0.1575342
40	48	0.1486486
	Global minimun!!!
	First local minimun!!!
41	61	0.1677419
42	4	0.1710526
43	83	0.1904762
44	82	0.1985816
45	3	0.2671756
46	75	0.3157895
47	110	0.3181818
48	13	0.3119266
49	66	0.3298969
50	34	0.3157895
51	74	0.3417721
52	72	0.3246753
53	86	0.3157895
54	59	0.3611111
55	35	0.3582090
56	56	0.3620690
57	85	0.3750000
58	127	0.3953488
59	46	0.4687500
60	92	0.4333333
61	58	0.3928571
62	31	0.4074074
63	1	0.4230769
64	9	0.4000000
65	0	0.3750000
66	49	0.3636364
67	11	0.3157895
68	120	0.3333333
69	113	0.2941177
70	23	0.2857143
71	30	0.2307692
72	60	0.6250000
73	77	0.5714286
74	5	0.6000000
75	45	1.0000000
76	2	1.0000000
77	50	1.0000000
Size of Cluster: 40.

run time: 0.19s (17:25:09)
