Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:23:06 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=81
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	81	1.0000000
2	57	0.6666667
3	98	0.5555556
4	61	0.6000000
5	51	0.5454546
6	13	0.5217391
7	110	0.4074074
8	48	0.3793103
9	39	0.3870968
10	27	0.4000000
11	85	0.3783784
12	6	0.4000000
13	73	0.3555556
	First local minimun!!!
14	82	0.3673469
15	29	0.4406780
16	88	0.4262295
17	68	0.4375000
18	18	0.4027778
19	32	0.3835616
20	12	0.3733333
21	107	0.3670886
22	10	0.3764706
23	66	0.4020618
24	44	0.3960396
25	97	0.3451327
26	90	0.3421053
27	124	0.3391304
28	125	0.3275862
29	8	0.3220339
30	26	0.3109244
31	119	0.2578125
32	93	0.2348485
33	91	0.2313433
34	14	0.2027972
35	54	0.1986301
36	38	0.1655629
	Global minimun!!!
37	76	0.1744967
38	56	0.2142857
39	95	0.2148148
40	34	0.2180451
41	96	0.2213740
42	89	0.2170543
43	83	0.2500000
44	74	0.3853211
45	49	0.3888889
46	121	0.3962264
47	3	0.4062500
48	75	0.4444444
49	123	0.4383562
50	23	0.4714286
51	70	0.4477612
52	86	0.4393939
53	20	0.4285714
54	72	0.4098361
55	120	0.4166667
56	113	0.4067796
57	127	0.4782609
58	35	0.4146341
59	46	0.4516129
60	15	0.4333333
61	4	0.4444444
62	79	0.4000000
63	92	0.3478261
64	58	0.3333333
65	11	0.2777778
66	77	0.2941177
67	59	0.2857143
68	60	0.5555556
69	5	0.5714286
70	31	0.6666667
71	9	0.6000000
72	45	1.0000000
73	50	1.0000000
74	2	1.0000000
Size of Cluster: 13.

run time: 0.17s (17:23:06)
