Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 19:56:27 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=123
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	123	1.0000000
2	129	0.9230769
3	15	0.7333333
4	20	0.5714286
5	113	0.5000000
6	103	0.4285714
7	34	0.4333333
8	95	0.4285714
9	120	0.4324324
10	66	0.4509804
11	56	0.4000000
12	108	0.3787879
13	112	0.3768116
14	100	0.3661972
15	122	0.3611111
16	116	0.3424658
17	53	0.3378378
18	3	0.3176471
19	49	0.3146068
20	58	0.3186813
21	46	0.2745098
	First local minimun!!!
22	75	0.3467742
23	14	0.3884892
24	72	0.3802817
25	76	0.3774835
26	74	0.3567252
27	91	0.3620690
28	86	0.3542857
29	70	0.3406594
30	36	0.3387978
31	22	0.3315217
32	79	0.3315508
33	19	0.3297872
34	82	0.2935323
35	29	0.2824074
36	61	0.2629310
37	92	0.2606838
38	11	0.2584746
	Global minimun!!!
39	10	0.2642276
40	54	0.2727273
41	121	0.2815126
42	96	0.2808511
43	30	0.2832618
44	4	0.2782609
45	127	0.2790698
46	38	0.2904762
47	45	0.3267327
48	9	0.3333333
49	23	0.3316062
50	35	0.3315217
51	59	0.3351955
52	51	0.3409091
53	97	0.3566879
54	8	0.3594771
55	90	0.3716216
56	119	0.3868613
57	42	0.4076923
58	93	0.3968254
59	110	0.4250000
60	13	0.4201681
61	2	0.4173913
62	89	0.4017857
63	31	0.3963964
64	83	0.4356436
65	102	0.4300000
66	26	0.4285714
67	7	0.4329897
68	57	0.4408602
69	12	0.4555556
70	32	0.4606742
71	21	0.4659091
72	44	0.4750000
73	85	0.4605263
74	5	0.4666667
75	6	0.4714286
76	60	0.4754098
77	33	0.4666667
78	77	0.4576271
79	50	0.4464286
80	0	0.4545455
81	1	0.4444444
82	107	0.4489796
83	88	0.4347826
84	81	0.4186046
85	73	0.4571429
86	68	0.5000000
87	62	0.4838710
88	18	0.5714286
89	27	0.5714286
90	48	0.5833333
91	98	0.5555556
92	39	0.3333333
93	105	0.5000000
94	125	0.6666667
95	124	0.5000000
96	87	1.0000000
97	55	1.0000000
Size of Cluster: 21.

run time: 0.19s (19:56:27)
