Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 19:56:25 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=116
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	116	1.0000000
2	122	0.5000000
	First local minimun!!!
3	56	0.8125000
4	108	0.7647059
5	120	0.6315789
6	113	0.5833333
7	58	0.5769231
8	3	0.5945946
9	66	0.5490196
10	123	0.4920635
11	103	0.4769231
12	46	0.4210526
13	34	0.3846154
14	129	0.3797468
15	15	0.3580247
16	45	0.3820225
17	53	0.3777778
18	20	0.3333333
19	49	0.3100000
20	36	0.3069307
21	42	0.3148148
22	5	0.3119266
23	100	0.3063063
24	72	0.3070175
25	2	0.2881356
26	50	0.2892562
27	75	0.3426574
28	60	0.3026316
29	11	0.3051948
30	92	0.3076923
31	30	0.3037975
32	95	0.3006135
33	62	0.2926829
34	22	0.2909091
35	61	0.3093923
36	74	0.2786070
37	86	0.2722772
38	112	0.2731707
39	127	0.2454545
40	77	0.2443439
41	54	0.2444444
42	59	0.2478261
43	35	0.2217573
44	23	0.2008197
	Global minimun!!!
45	82	0.2085106
46	51	0.2112069
47	13	0.2121212
48	70	0.2098214
49	96	0.2171946
50	110	0.2232558
51	76	0.2135922
52	1	0.2146342
53	0	0.2107843
54	21	0.2118227
55	85	0.2060301
56	4	0.2091837
57	31	0.2102564
58	88	0.2187500
59	83	0.2252747
60	57	0.2303371
61	91	0.2342857
62	9	0.2397661
63	14	0.3076923
64	79	0.3071896
65	38	0.3243243
66	8	0.3263889
67	12	0.3262411
68	29	0.3253968
69	81	0.3252032
70	32	0.3196721
71	121	0.3389831
72	107	0.3628319
73	89	0.3818182
74	6	0.4190476
75	19	0.4134615
76	119	0.4193548
77	73	0.4588235
78	44	0.4675325
79	10	0.5223880
80	93	0.5396826
81	97	0.5000000
82	98	0.5365854
83	90	0.5277778
84	7	0.5142857
85	27	0.5357143
86	105	0.5769231
87	48	0.6250000
88	18	0.7857143
89	102	0.7692308
90	68	0.7000000
91	26	0.7500000
92	39	0.6000000
93	33	0.5000000
94	87	0.6666667
95	55	0.5000000
96	124	1.0000000
97	125	1.0000000
Size of Cluster: 2.

run time: 0.19s (19:56:25)
