Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 19:56:02 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=15
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	15	1.0000000
2	129	0.6666667
3	20	0.7777778
4	123	0.5714286
5	113	0.5000000
6	103	0.4285714
7	34	0.4333333
8	95	0.4285714
9	120	0.4324324
10	100	0.4102564
11	108	0.4000000
12	56	0.4074074
13	66	0.3676471
14	122	0.3623188
15	116	0.3428572
16	112	0.3424658
17	53	0.3378378
18	3	0.3176471
	First local minimun!!!
19	14	0.3800000
20	58	0.3823529
21	49	0.3773585
22	46	0.3333333
23	10	0.3543307
24	75	0.4026846
25	91	0.4078947
26	19	0.4052288
27	76	0.4012346
28	72	0.3939394
29	29	0.3611111
30	121	0.3641304
31	74	0.3480392
32	70	0.3364929
33	79	0.3317757
34	86	0.3255814
35	38	0.3227273
36	36	0.3212670
37	97	0.2875000
38	96	0.2757202
39	22	0.2704918
40	9	0.2704918
41	82	0.2727273
42	61	0.2930233
43	54	0.3033175
44	30	0.3062201
45	4	0.3009709
46	11	0.3039216
47	92	0.3069307
48	93	0.2979798
49	26	0.2959184
50	59	0.2984293
51	90	0.3064516
52	7	0.3081081
53	89	0.2967033
54	51	0.2960894
55	127	0.2987805
56	119	0.3202614
57	33	0.3157895
58	102	0.3112583
59	45	0.3636364
60	31	0.3591549
61	8	0.3478261
62	35	0.3488372
63	23	0.3467742
64	32	0.3495935
65	6	0.3559322
66	42	0.3783784
67	44	0.4271845
68	12	0.4400000
69	21	0.4343434
70	110	0.4623656
71	13	0.4565217
72	2	0.4545455
73	83	0.4615385
74	57	0.4729730
75	1	0.4794520
76	0	0.4722222
77	88	0.4782609
78	107	0.4843750
79	85	0.4666667
80	60	0.4705882
81	5	0.4600000
82	81	0.4468085
83	73	0.4871795
84	77	0.4736842
85	50	0.4571429
86	68	0.5000000
87	18	0.5909091
88	62	0.5714286
89	27	0.5714286
90	48	0.5833333
91	98	0.5555556
92	39	0.3333333
93	124	0.4000000
94	125	0.2500000
	Global minimun!!!
95	105	0.5000000
96	87	1.0000000
97	55	1.0000000
Size of Cluster: 18.

run time: 0.19s (19:56:02)
