Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 20:04:52 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=116
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	116	1.0000000
2	126	0.7500000
3	109	0.6666667
4	101	0.6363636
5	52	0.5833333
6	120	0.5238096
7	111	0.4782609
8	55	0.5000000
9	79	0.5000000
10	110	0.5250000
11	114	0.5121951
12	108	0.5000000
13	105	0.4666667
14	112	0.4545455
15	113	0.4411765
16	115	0.4166667
17	56	0.4494382
18	124	0.4565217
19	98	0.4479167
20	117	0.4432990
21	99	0.4387755
22	87	0.4356436
23	119	0.4033614
24	103	0.3852459
25	85	0.3906250
26	118	0.3846154
27	61	0.3986014
28	125	0.3958333
29	4	0.4105960
30	66	0.4047619
31	12	0.4035088
32	121	0.3954802
33	48	0.4010989
34	100	0.3945946
35	123	0.3830846
36	82	0.3719807
37	57	0.3632075
38	36	0.3615023
39	13	0.3669725
40	81	0.3574661
41	68	0.3580786
42	58	0.3620690
43	8	0.3559322
44	3	0.3625498
45	34	0.3476562
46	90	0.3460076
47	20	0.3419118
48	53	0.3418182
49	46	0.3152542
50	107	0.3104575
51	39	0.3106796
52	2	0.3197492
53	129	0.3187500
54	45	0.3151515
55	41	0.3111782
56	86	0.3123123
57	37	0.3104478
58	18	0.3002833
59	74	0.3083110
60	49	0.2955145
61	38	0.2911051
62	51	0.2907609
63	92	0.2904110
	Global minimun!!!
	First local minimun!!!
64	42	0.2946176
65	15	0.2942857
66	54	0.2944607
67	62	0.3026706
68	91	0.3081571
69	59	0.3167702
70	95	0.3217666
71	75	0.3501683
72	127	0.3535714
73	27	0.3676471
74	102	0.3834586
75	72	0.3802281
76	23	0.3803922
77	89	0.3870968
78	25	0.3861789
79	76	0.4000000
80	60	0.4044445
81	88	0.4054054
82	14	0.4603961
83	30	0.4623116
84	35	0.4497355
85	11	0.4590164
86	17	0.4560440
87	73	0.4685714
88	50	0.4593023
89	104	0.4588235
90	0	0.4968944
91	10	0.5734265
92	71	0.5704225
93	97	0.6198347
94	29	0.6250000
95	83	0.6559139
96	6	0.7088608
97	96	0.6973684
98	9	0.6986302
99	5	0.7142857
100	1	0.6885246
101	44	0.6666667
102	31	0.6600000
103	93	0.6136364
104	22	0.6923077
105	77	0.7027027
106	70	0.7500000
107	32	0.7407407
108	19	0.7307692
109	69	0.7600000
110	67	0.7500000
111	21	0.7391304
112	33	0.8095238
113	26	0.7777778
114	80	0.7500000
115	7	0.6923077
116	16	0.7777778
117	63	1.0000000
118	94	1.0000000
119	65	1.0000000
Size of Cluster: 63.

run time: 0.19s (20:04:52)
