Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 20:04:49 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=103
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	103	1.0000000
2	99	0.7500000
3	100	0.7142857
4	113	0.6500000
5	117	0.6190476
6	20	0.6333333
7	115	0.6176471
8	112	0.5909091
9	120	0.5660377
10	55	0.5535714
11	114	0.5438597
12	118	0.5254237
13	111	0.5081967
14	92	0.5156250
15	123	0.5000000
16	101	0.4878049
17	52	0.4698795
18	108	0.4642857
19	121	0.4666667
20	119	0.4537037
21	129	0.4495413
22	15	0.4285714
23	116	0.4152542
24	126	0.4000000
25	57	0.4080000
26	109	0.4047619
27	79	0.3846154
28	56	0.3877551
29	124	0.3800000
30	95	0.3806452
31	16	0.3899371
32	90	0.3915663
33	105	0.3964497
34	66	0.3924731
35	110	0.3775510
36	10	0.4112149
37	87	0.4101382
38	6	0.3982684
39	97	0.3888889
40	4	0.3706564
41	34	0.3674242
42	125	0.3660377
43	14	0.3649123
44	94	0.3588850
45	51	0.3551724
46	59	0.3612040
47	81	0.3609272
48	68	0.3612903
49	82	0.3607595
50	2	0.3650307
51	8	0.3606061
52	61	0.3381924
53	107	0.3361582
54	98	0.3296089
55	7	0.3240997
56	89	0.3125000
57	58	0.3099730
58	1	0.3000000
	Global minimun!!!
	First local minimun!!!
59	38	0.3054054
60	18	0.3238636
61	62	0.3323700
62	102	0.3294118
63	3	0.3446154
64	26	0.3447205
65	0	0.3386582
66	46	0.3617747
67	9	0.3586207
68	17	0.3564014
69	48	0.3485915
70	21	0.3498233
71	29	0.3646617
72	53	0.3650190
73	19	0.3625954
74	45	0.3809524
75	5	0.3815261
76	33	0.3765182
77	31	0.3739837
78	11	0.3791667
79	60	0.4000000
80	93	0.3926941
81	127	0.4603961
82	49	0.4540816
83	76	0.4526316
84	104	0.4521277
85	54	0.4364641
86	36	0.4333333
87	74	0.4937500
88	30	0.4840764
89	13	0.4736842
90	42	0.4785714
91	37	0.4710145
92	75	0.5254237
93	96	0.5217391
94	71	0.5175439
95	12	0.5315315
96	91	0.5428572
97	85	0.5555556
98	39	0.5625000
99	41	0.5578948
100	50	0.5543478
101	44	0.6097561
102	73	0.6400000
103	25	0.6438356
104	72	0.6428571
105	35	0.6166667
106	86	0.6034483
107	23	0.6000000
108	27	0.5952381
109	80	0.6000000
110	88	0.5945946
111	32	0.5833333
112	83	0.5200000
113	70	0.6875000
114	22	0.7272727
115	77	0.6666667
116	69	0.7500000
117	67	0.7142857
118	63	1.0000000
119	65	1.0000000
Size of Cluster: 58.

run time: 0.17s (20:04:49)
