Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 20:04:33 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=36
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	36	1.0000000
2	61	0.9285714
3	46	0.9117647
4	41	0.8857143
5	53	0.8421053
6	57	0.7906977
7	49	0.7142857
8	81	0.6730769
9	66	0.5797101
10	110	0.5569620
11	54	0.5232558
12	58	0.5168539
13	13	0.5000000
14	51	0.4845361
15	30	0.4700000
16	92	0.4660194
17	12	0.4622642
18	82	0.4642857
19	98	0.4482759
20	59	0.4400000
21	3	0.4357143
22	85	0.4383562
23	5	0.4362416
24	56	0.4156626
25	105	0.4023669
26	48	0.4022988
27	96	0.4067796
28	11	0.4098361
29	21	0.4076087
30	127	0.4079602
31	68	0.4066986
32	34	0.3971963
33	74	0.3888889
34	73	0.3983403
35	31	0.3966942
36	126	0.3975410
37	37	0.3943090
38	100	0.3935743
39	72	0.3849206
40	75	0.3566177
41	86	0.3503650
42	55	0.3501805
43	1	0.3461539
44	108	0.3449477
45	123	0.3267327
46	9	0.3235294
47	116	0.3173077
48	91	0.3144654
49	38	0.3030303
50	0	0.2979351
51	6	0.2974504
52	107	0.2967033
53	83	0.2880000
54	94	0.2864721
55	23	0.2811671
	Global minimun!!!
	First local minimun!!!
56	2	0.3024523
57	8	0.3057851
58	87	0.3083333
59	45	0.3171428
60	29	0.3633634
61	27	0.3723077
62	95	0.3750000
63	15	0.3753943
64	35	0.3745928
65	16	0.3696370
66	39	0.3700000
67	112	0.4000000
68	88	0.4041812
69	67	0.4055944
70	69	0.4035088
71	129	0.4014085
72	120	0.4109091
73	44	0.4226415
74	42	0.4150198
75	118	0.4223108
76	18	0.4377683
77	76	0.4405286
78	115	0.4439462
79	14	0.4630542
80	62	0.4771574
81	119	0.4804469
82	4	0.5000000
83	7	0.5029586
84	32	0.5000000
85	113	0.5032258
86	25	0.4967320
87	109	0.5000000
88	20	0.4965035
89	70	0.5149254
90	60	0.5210084
91	22	0.5175439
92	19	0.5132743
93	79	0.5045872
94	10	0.5274726
95	50	0.5113636
96	77	0.5116279
97	89	0.5949367
98	80	0.5844156
99	17	0.5789474
100	93	0.6000000
101	103	0.5970149
102	97	0.6521739
103	124	0.6511628
104	117	0.6428571
105	71	0.6341463
106	121	0.6000000
107	125	0.5882353
108	65	0.6129032
109	99	0.6000000
110	63	0.5384616
111	90	0.5789474
112	101	0.6470588
113	114	0.6875000
114	102	0.7000000
115	26	0.8571429
116	33	0.8000000
117	104	0.6666667
118	111	1.0000000
119	52	1.0000000
Size of Cluster: 55.

run time: 0.17s (20:04:33)
