Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 20:11:24 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=126
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	126	1.0000000
2	116	0.6666667
3	101	0.5714286
4	120	0.3333333
5	108	0.3076923
	First local minimun!!!
6	110	0.4500000
7	105	0.4545455
8	56	0.5277778
9	87	0.5135135
10	55	0.4736842
11	113	0.4651163
12	13	0.4666667
13	85	0.4489796
14	61	0.4516129
15	103	0.4375000
16	41	0.4307692
17	98	0.4411765
18	12	0.4366197
19	48	0.4324324
20	66	0.4444444
21	36	0.4395604
22	123	0.4174757
23	34	0.4000000
24	57	0.3853211
25	100	0.3783784
26	46	0.3720930
27	3	0.3496504
28	53	0.3356164
29	129	0.3333333
30	81	0.3200000
31	58	0.3137255
32	15	0.3032258
33	49	0.2767296
34	20	0.2634731
35	37	0.2603550
36	45	0.2752809
37	82	0.2747253
38	75	0.2964824
39	51	0.2935323
40	54	0.2822967
41	127	0.2901786
42	72	0.2863436
43	92	0.2794760
44	11	0.2727273
45	5	0.2660944
46	74	0.2240000
47	30	0.2222222
48	42	0.2269231
49	86	0.2222222
50	23	0.2126866
51	95	0.2124542
52	83	0.2243346
53	16	0.2251908
54	35	0.2086614
	Global minimun!!!
55	112	0.2151394
56	2	0.2137097
57	88	0.2204082
58	38	0.2382979
59	39	0.2500000
60	27	0.2633929
61	50	0.2669683
62	70	0.2660550
63	59	0.2783019
64	44	0.2843137
65	73	0.2842640
66	60	0.2810811
67	21	0.2826087
68	22	0.2802198
69	6	0.2931035
70	77	0.2906977
71	80	0.2865497
72	62	0.2781065
73	25	0.2797619
74	96	0.2909091
75	68	0.3086420
76	107	0.3161290
77	14	0.3913043
78	63	0.3868613
79	76	0.3939394
80	65	0.4000000
81	8	0.4062500
82	4	0.4308943
83	9	0.4250000
84	32	0.4285714
85	71	0.4237288
86	79	0.4260870
87	29	0.5000000
88	89	0.5212766
89	31	0.5161290
90	119	0.5308642
91	18	0.5312500
92	1	0.5396826
93	0	0.5322581
94	10	0.6326531
95	91	0.6086956
96	7	0.6000000
97	121	0.6500000
98	19	0.6410257
99	97	0.8000000
100	93	0.7333333
101	17	0.7142857
102	90	0.6666667
103	124	0.7142857
104	125	0.6666667
105	102	0.6000000
106	26	1.0000000
107	33	1.0000000
Size of Cluster: 5.

run time: 0.17s (20:11:25)
