Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 20:02:13 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=110
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	110	1.0000000
2	105	0.8181818
3	98	0.6666667
4	55	0.6250000
5	126	0.6111111
6	85	0.5454546
7	87	0.5000000
8	61	0.5405405
9	12	0.5250000
10	116	0.5111111
11	48	0.5102041
12	13	0.5094340
13	57	0.4736842
14	81	0.4333333
15	36	0.4262295
16	109	0.4193548
17	101	0.4218750
18	41	0.4153846
19	111	0.4090909
20	52	0.3880597
21	39	0.4000000
22	120	0.3974359
23	66	0.4574468
24	82	0.4500000
25	27	0.4537037
26	51	0.4504505
27	37	0.4513274
28	11	0.4568965
29	108	0.4529915
30	88	0.4500000
31	79	0.4516129
32	0	0.4496124
33	83	0.4642857
34	73	0.4489796
35	56	0.4347826
36	46	0.4189944
37	53	0.4065934
38	34	0.4064171
39	127	0.4068627
40	68	0.4106280
41	23	0.4112149
42	49	0.3881279
43	44	0.3711790
44	1	0.3690987
45	76	0.3765690
46	92	0.3692946
47	74	0.3601533
48	38	0.3663004
49	3	0.3298611
50	112	0.3287671
51	32	0.3276451
52	18	0.3290323
53	54	0.3123028
54	75	0.2958199
	Global minimun!!!
	First local minimun!!!
55	124	0.2987013
56	58	0.2983606
57	8	0.3089701
58	29	0.3450704
59	119	0.3470149
60	123	0.3596838
61	6	0.3877551
62	30	0.3868313
63	86	0.3842975
64	91	0.3823529
65	95	0.3776824
66	80	0.3809524
67	70	0.3750000
68	125	0.3721973
69	96	0.3681818
70	72	0.3640553
71	77	0.3627907
72	14	0.3794872
73	107	0.3776596
74	4	0.3846154
75	59	0.3828571
76	113	0.4011976
77	35	0.4140127
78	17	0.4102564
79	93	0.4105960
80	7	0.4161074
81	5	0.4217687
82	21	0.4178082
83	19	0.4137931
84	69	0.4166667
85	67	0.4125874
86	117	0.4084507
87	22	0.4057971
88	65	0.4117647
89	9	0.4060150
90	2	0.4375000
91	10	0.4732143
92	20	0.4615385
93	62	0.4900000
94	15	0.4897959
95	45	0.5393258
96	129	0.5340909
97	42	0.5384616
98	16	0.5324675
99	60	0.5156250
100	31	0.5079365
101	97	0.6279070
102	121	0.6315789
103	25	0.6111111
104	90	0.7241379
105	103	0.7692308
106	33	0.8333333
107	63	0.8260869
108	99	0.8181818
109	104	0.9000000
110	50	0.8823529
111	26	0.8571429
112	71	0.8333333
113	89	1.0000000
114	100	1.0000000
115	102	1.0000000
Size of Cluster: 54.

run time: 0.17s (20:02:14)
